# Symbol -> (SymbolCategory, Iterator) mappings for call-stack frame classification.
#
# Pipe-delimited: Module|Class|Function|Category|Iterator. Lines starting with # and blank lines are ignored.
#   - Matching per field: "CQScan" = exact (case-insensitive), "CQScan*" = starts-with, "*Scan" = ends-with,
#     "*CQScan*" = contains, "*" = any.
#   - Category must be a SymbolCategory enum name. Iterator is the plan-operator badge text (blank = none).
#   - The most specific matching rule wins: an exact field beats any glob, a longer glob beats a shorter one, and
#     function is weighted highest and breaks ties.
Module|Class|Function|Category|Iterator

# Statements
sqllang|CXStmtSelect|XretExecute|StatementExecution|SELECT
sqllang|CXStmtUpdate|XretExecute|StatementExecution|UPDATE
sqllang|CXStmtDelete|XretExecute|StatementExecution|DELETE
sqllang|CXStmtInsert|XretExecute|StatementExecution|INSERT
sqllang|CXStmtMerge|XretExecute|StatementExecution|MERGE

# -----------------------------------------------------------------------------------------------------------------------------------------
# Query operators
# -----------------------------------------------------------------------------------------------------------------------------------------
sqlmin|CQueryScan|GetRow|QueryOperator|Iterator
sqlmin|CQScanProfileNew|GetRow|QueryOperator|Profiling
sqlmin|CQScanLightProfileNew|GetRow|QueryOperator|Profiling

# Physical Operators

sqlmin|CQScanHashAgg*|*|PhysicalOperator|Hash Match (Aggregate)

# Hash match + Build/Probe
sqlmin|CQScanHash|ConsumeBuild|PhysicalOperator|Hash Match Build
sqlmin|CQScanHash|ConsumeProbe|PhysicalOperator|Hash Match Probe
sqlmin|CQScanHash*|*|PhysicalOperator|Hash Match

# Execution Tree (?)
sqlmin|CXte*|*|ExecutionTree|

sqlmin|CQScanMergeJoin*|*|QueryOperator|Merge Join
sqlmin|CQScanNLJoin*|*|QueryOperator|Nested Loops
sqlmin|CQScanStreamAgg*|*|QueryOperator|Stream Aggregate
sqlmin|CQScanTopSort*|*|QueryOperator|Sort
sqlmin|CQScanSort*|*|QueryOperator|Sort
sqlmin|CQScanTop*|*|QueryOperator|Top
sqlmin|CQScanRange*|*|QueryOperator|Index Seek
sqlmin|CQScanIndex*|*|QueryOperator|Index Scan
sqlmin|CQScanTableScanNew|GetRow|QueryOperator|Row Read
sqlmin|CQScanTable*|*|QueryOperator|Table Scan
sqlmin|CQScanRowset*|*|QueryOperator|Scan
sqlmin|CQScanFilter*|*|QueryOperator|Filter
sqlmin|CQScanComputeScalar*|*|QueryOperator|Compute Scalar
sqlmin|CQScanConcat*|*|QueryOperator|Concatenation
sqlmin|CQScanSpool*|*|QueryOperator|Spool
sqlmin|CQScanExchange*|*|QueryOperator|Parallelism
sqlmin|CQScanSeq*|*|QueryOperator|Sequence
sqlmin|CQScanUpdate*|*|QueryOperator|Update
sqlmin|CQScan*|*|QueryOperator|
sqlmin|QueryScan*|*|QueryOperator|
sqlmin|CQueryScan*|*|QueryOperator|

# Rowset (Row iterators)
sqlmin|Rowset*|*FetchNextRow|RowAccess|Row Iterator
sqlmin|Rowset*|*|RowAccess|

# DataSet (Dataset operations)

# --- Class rules -----------------------------------------------------------------------------------------------------
*|GenericEvent*|*|XEventInfrastructure|
*|XeSqlPkg*|*|XEventInfrastructure|
*|XEvent*|*|XEventInfrastructure|
*|CTraceData*|*|XEventInfrastructure|
*|lck_ProduceExtendedEvent*|*|XEventInfrastructure|
*|CProfileInfo*|*|XEventInfrastructure|
*|XE_*|*|XEventInfrastructure|
*|XeSosPkg*|*|XEventInfrastructure|
*|PublishWaitStatsXEvents*|*|XEventInfrastructure|

*|SOS_Task*|*|SqlOs|
*|SOS_Scheduler*|*|SqlOs|
*|Worker*|*|SqlOs|
*|ThreadScheduler*|*|SqlOs|
*|SchedulerManager*|*|SqlOs|

*|IOQueue*|*|IoInfrastructure|
*|DiskReadAsync*|*|IoInfrastructure|
*|JoinedIoCompletion*|*|IoInfrastructure|
*|WaitOnWriteAsyncToFinish*|*|IoInfrastructure|
*|write_data*|*|IoInfrastructure|
*|flush_buffer*|*|IoInfrastructure|

*|CMsqlExecContext*|*|QueryExecution|
*|CSQLSource*|*|QueryExecution|
*|CXStmt*|*|QueryExecution|
*|CLanguageExecEnv*|*|QueryExecution|
*|CExecuteStatement*|*|QueryExecution|

*|BTree*|*|IndexAccess|
*|IndexPageManager*|*|IndexAccess|

*|BUF*|*|BufferManager|
*|BPool*|*|BufferPool|
*|FCB*|*|FileControlBlock|

*|IndexRowScanner*|*|RowAccess|
